runner_step,before_order_num,after_order_num,profit,utility,fairness,variety,entropy
64,0,0,47.31813366734987,49.49767267035814,0.1795390030082743,1,1.0
65,0,0,47.31813366734987,49.50669031616832,0.1885566488184477,1,1.0
66,0,0,47.31813366734987,49.51328957763259,0.19515591028272483,1,1.0
67,0,0,47.6973953337441,49.900540183636984,0.2031448498928875,1,1.0
68,0,0,48.106638036766036,50.315255790221514,0.20861775345547973,1,1.0
69,0,0,48.80948984675634,51.027754067657064,0.21826422090071884,1,1.0
70,0,0,49.883069224421725,52.10901393801311,0.2259447135913878,1,1.0
71,0,0,50.57529925452319,52.80907560915503,0.2337763546318412,1,1.0
72,0,0,51.743341489559405,53.98524361885035,0.2419021292909389,1,1.0
73,0,0,52.786027921030104,55.034641193717846,0.24861327268774025,1,1.0
74,0,0,53.30680337924731,55.56072217810116,0.2539187988538457,1,1.0
75,0,0,53.93721589972758,56.19697544921681,0.259759549489224,1,1.0
76,0,0,54.70394648636428,56.971900051088475,0.2679535647241944,1,1.0
77,0,0,55.450854278939616,57.715589774472974,0.272415495533362,1,0.99232
78,0,0,56.61188022061537,58.87792195576621,0.27372173515084175,1,0.99232
79,0,0,57.78117030050515,59.18915612961685,0.27782528656986993,0.14144054254182067,0.98872
80,0,0,58.13449135262671,59.543818824710286,0.2791669295417504,0.14144054254182067,0.98872
81,0,0,58.45169690677421,59.959438470770216,0.2801693749135936,0.24229218908241482,0.98528
82,0,0,59.506032020393505,61.09739193478222,0.2786349952342385,0.3274449191544763,0.98528
83,0,0,59.949517339834294,61.53554523914691,0.2735429801581497,0.3274449191544763,0.98504
84,0,0,61.0671545800774,62.64758515612569,0.267945656893825,0.3274449191544763,0.98504
85,0,0,61.57123506785089,63.144334445397924,0.2671744583925586,0.3274449191544763,0.97848
86,0,0,61.92414576684546,63.58028389004203,0.2677989329942938,0.4021791902022729,0.98616
87,0,0,62.934574049690994,64.59311076061837,0.2701975207250953,0.4021791902022729,0.98616
88,0,0,63.270040844038576,64.9353735578231,0.27339352358225333,0.4021791902022729,0.98976
89,0,0,63.606990597768814,65.16826982589652,0.27682365019038213,0.2946955779373215,0.98976
90,0,0,64.31124934019856,65.96856501637794,0.2809119375364634,0.38320373864291246,0.9932
91,0,0,64.71461465770282,66.37533418265053,0.2843157863047905,0.38320373864291246,0.9932
92,0,0,65.72996766430035,67.39364092170949,0.28702951876621974,0.38320373864291246,0.99344
93,0,0,66.07359639490592,67.74061156624265,0.2903714326938025,0.38320373864291246,0.99344
94,0,0,67.1443360169868,68.81803538581501,0.29353563018528694,0.38320373864291246,0.99696
95,0,0,67.78887406979266,69.46823735043719,0.2991995420016105,0.38320373864291246,0.99696
96,0,0,68.7955342967726,70.47886931891415,0.3031712834986239,0.38320373864291246,0.99696
97,0,0,69.1489298444014,70.87083946613093,0.3096734178187984,0.4208762039107323,0.99136
98,0,1,69.1489298444014,70.87666648417083,0.31550043585870025,0.4208762039107323,0.99136
99,1,2,69.1489298444014,70.88090964582392,0.31974359751178627,0.4208762039107323,0.99136
100,2,3,69.1489298444014,70.94741764312667,0.323453237568623,0.48623456115664887,0.9888
101,3,4,69.1489298444014,70.95116789735592,0.32720349179787167,0.48623456115664887,0.9888
102,4,5,69.1489298444014,70.9555822290432,0.3321778234851601,0.48623456115664887,0.98824
103,5,6,69.1489298444014,70.96539348622167,0.3389490806636263,0.48623456115664887,0.99128
